netMosAvg,d2cLossAvg,e2eJitterAvg,d2cJitterAvg,e2eLossAvg,jitDepthAvg,playSpeedAvg
3.97741,4,125,125,4,534,1.2
3.3122,17,286,286,17,1186,1.0
2.1834599999999997,31,492,492,31,2038,1.0
1.06915,48,723,723,48,3032,1.0
1.0,61,958,958,61,4046,1.0
1.0,78,1025,1025,78,4112,1.0
1.0,88,965,965,88,4184,1.0
3.6276900000000003,12,146,146,12,4084,1.0
2.8799900000000003,23,366,366,23,3224,1.0
1.7466099999999998,35,562,562,35,2706,1.0
1.0293700000000001,52,841,841,52,3373,1.0
1.0,65,981,981,65,3849,1.0
1.0,82,972,972,82,4065,1.0
2.75211,39,393,393,39,4084,1.0
3.7432800000000004,10,214,214,10,3677,1.0
2.20611,28,441,441,28,2857,1.0
1.24865,42,621,621,42,2512,1.0
1.0,56,951,951,56,3582,1.0
1.0,71,1099,1099,71,4093,1.0
1.0,85,1092,1092,85,4090,1.0
3.9909800000000004,4,101,101,4,4076,1.0
3.3414,15,288,288,15,3386,1.0
2.2297700000000003,30,576,576,30,2624,1.0
1.11753,47,778,778,47,2968,1.0
1.0,62,904,904,62,3756,1.0
1.0,78,1104,1104,78,4101,1.0
1.0,91,733,733,91,4159,1.0
3.6711199999999997,9,136,136,9,4046,1.0
2.82439,24,369,369,24,3206,1.0
1.6137299999999999,37,606,606,37,2716,1.0
1.00244,53,828,828,53,3246,1.0
1.0,66,983,983,66,3919,1.0
1.0,79,1021,1021,79,4192,1.0
3.5658,17,266,266,17,4239,1.0
3.5815599999999996,14,222,222,14,3829,1.0
2.4821400000000002,26,417,417,26,3029,1.0
1.33656,40,663,663,40,2822,1.0
1.00011,57,909,909,57,3635,1.0
1.0,72,1078,1078,72,4169,1.0
1.0,89,1072,1072,89,4266,1.0
3.72862,12,89,89,12,4306,1.0
3.4155699999999998,16,289,289,16,3616,1.0
2.04803,31,505,505,31,2841,1.0
1.08286,45,719,719,45,3071,1.0
1.0,61,954,954,61,3794,1.0
1.0,75,1072,1072,75,4104,1.0
