endSystemDelay,packetLoss,JBnominal,noiseLevel,Rfactor,signalLevel,MOSLQ
60.0,0.0,0,0,0,-110,4.5
60.0,0.0,0,0,0,-110,4.5
60.0,0.0,0,-54,0,-39,4.5
60.0,0.0,0,-57,0,-63,4.5
60.0,0.0,2,-57,91,-60,4.228
60.0,0.0,2,-57,91,-62,4.228
60.0,0.0,2,-58,91,-65,4.228
60.0,0.0,2,-57,91,-60,4.228
60.0,0.0,2,-57,91,-56,4.228
60.0,0.0,2,-57,91,-55,4.228
60.0,0.0,12,-57,91,-61,4.228
60.0,0.0,14,-55,91,-33,4.228
60.0,0.0,16,-55,91,-30,4.228
60.0,0.0,16,-57,91,-58,4.228
98.0,0.0,18,-56,90,-20,4.197
98.0,0.0,22,-57,90,-54,4.197
98.0,0.0,25,-58,90,-60,4.197
98.0,0.0,30,-57,90,-43,4.197
98.0,0.0,26,-58,90,-56,4.197
104.0,0.0,31,-58,90,-57,4.192
104.0,0.0,35,-59,90,-56,4.192
104.0,0.0,36,-59,90,-58,4.192
104.0,0.0,41,-59,90,-60,4.192
104.0,0.0,46,-59,90,-53,4.192
166.0,1.587,52,-57,81,-45,3.917
166.0,1.587,56,-57,81,-46,3.917
166.0,1.587,62,-59,81,-55,3.917
166.0,1.587,55,-60,81,-57,3.917
166.0,1.587,69,-59,81,-57,3.917
240.0,0.0,61,-60,80,-59,3.841
240.0,0.0,59,-60,80,-59,3.841
240.0,0.0,59,-60,80,-56,3.841
240.0,0.0,66,-60,80,-60,3.841
240.0,0.0,69,-59,80,-51,3.841
240.0,0.395,74,-58,78,-54,3.775
240.0,0.395,80,-58,78,-57,3.775
240.0,0.395,80,-60,78,-58,3.775
240.0,0.395,76,-60,78,-58,3.775
240.0,0.395,89,-60,78,-58,3.775
241.0,0.0,92,-60,80,-58,3.8360000000000003
241.0,0.0,98,-59,80,-48,3.8360000000000003
241.0,0.0,95,-59,80,-55,3.8360000000000003
241.0,0.0,101,-56,80,-51,3.8360000000000003
241.0,0.0,93,-59,80,-52,3.8360000000000003
242.0,2.7769999999999997,104,-60,68,-53,3.469
242.0,2.7769999999999997,97,-60,68,-56,3.469
242.0,2.7769999999999997,104,-57,68,-27,3.469
242.0,2.7769999999999997,103,-59,68,-49,3.469
242.0,2.7769999999999997,104,-60,68,-54,3.469
354.0,0.396,108,-60,63,-55,3.2230000000000003
354.0,0.396,117,-60,63,-59,3.2230000000000003
354.0,0.396,127,-59,63,-56,3.2230000000000003
354.0,0.396,124,-58,63,-50,3.2230000000000003
354.0,0.396,130,-59,63,-57,3.2230000000000003
400.0,0.0,142,-59,59,-55,3.0669999999999997
400.0,0.0,136,-60,59,-54,3.0669999999999997
400.0,0.0,133,-60,59,-52,3.0669999999999997
400.0,0.0,129,-60,59,-59,3.0669999999999997
400.0,0.0,139,-60,59,-59,3.0669999999999997
384.0,0.8029999999999999,149,-61,57,-58,3.013
384.0,0.8029999999999999,156,-60,57,-56,3.013
384.0,0.8029999999999999,140,-60,57,-58,3.013
384.0,0.8029999999999999,134,-60,57,-60,3.013
384.0,0.8029999999999999,140,-58,57,-47,3.013
385.0,0.0,142,-60,61,-59,3.14
385.0,0.0,142,-58,61,-42,3.14
385.0,0.0,129,-60,61,-55,3.14
385.0,0.0,166,-60,61,-55,3.14
385.0,0.0,182,-59,61,-34,3.14
